input file used in this experiment: godfather/gdad.txt
MAX characters between words allowed: 200

,,Distance Between words,Actual Text 

Location of ",Location of vito,,

Location of ",Location of corleone,,

Location of ",Location of santiago,,

Location of ",Location of sonny,,

Location of ",Location of federico,,

Location of ",Location of i,,

Location of ",Location of you,,

Location of ",Location of he,,

Location of ",Location of she,,

Location of ",Location of they,,

Location of ",Location of fredo,,

Location of ",Location of michael,,

Location of ",Location of mike,,

Location of ",Location of johnny,,

Location of ",Location of kay,,

Location of ",Location of adams,,

Location of ',Location of vito,,
435157,434988,165,vito pocketed the bills  he waited  they all understood each other  they knew he had killed fanucd and though they never spoke about it to anyone the whole neighborhood '
435157,435190,32,' within a^few weeks  also knew  vito

Location of ',Location of corleone,,
46115,46234,118,' and i wept   bonasera could not speak further  he was weeping now though his voice had not betrayed his emotion  don corleone
46958,46977,18,'we must go to don corleone
46998,46977,13,corleone for justice '
49465,49470,4,'don corleone
49495,49470,17,corleone give me justice '
57237,57344,106,' applause  the three of them embraced each other at the end  the guests begged for another song  only don corleone
58261,58378,116,' i called you five times after my divorce and tom always told me you were out or busy so i knew you were sore   don corleone
61800,61918,117,'  the mimicry of the don was so extraordinary  so unexpected  that hagen and johnny were startled into laughter  don corleone
119898,119835,55,corleone assumed the duties of parenthood  indeed he is called '
145983,145777,198,corleone said   i receive fifty percent merely for finance and legal protection  i have no worries about operations  is that what you tell me   sollozzo nodded   if you think two million dollars in cash is '
145999,146025,25,' i congratulate you  don corleone
303083,303194,110,'hagen said   mccluskey is a stupid man and it was business  not personal   for the second time he saw michael corleone
435157,435195,37,' within a^few weeks  also knew  vito corleone
663275,663317,41,'em like you scrape a frying pan  freddie corleone

Location of ',Location of santiago,,

Location of ',Location of sonny,,
165250,165180,65,sonny said  he was fresh from a nap  called to the phone by his wife  '

Location of ',Location of federico,,

Location of ',Location of i,,
34173,34169,3,id  '
34173,34180,6,'when wi
34230,34184,45,i be old enough to hear that story about luca '
34230,34242,11,' and tom sai
34246,34242,3,id  '
34269,34274,4,'   mi
45485,45468,16,ily  she found a '
45485,45492,6,'boy fri
45497,45492,4,iend '
45497,45506,8,' not an i
46051,46047,3,in  '
46051,46073,21,'father  father  why di
46115,46106,8,is to me '
46115,46121,5,' and i
46958,46953,4,ife  '
