input file used in this experiment: Tolkien_noTags/test.txt
MAX characters between words allowed: 100

,,Distance Between words,Actual Text 

Location of tall,Location of elf,,
4,9,1,tall elf
35,9,23,elf foo legolas foo idril tall

Location of tall,Location of idril,,
4,29,21,tall elf foo legolas foo idril
35,29,1,idril tall

Location of tall,Location of legolas,,
4,17,9,tall elf foo legolas
35,17,11,legolas foo idril tall
42,47,1,tall legolas

Location of large,Location of elf,,

Location of large,Location of idril,,

Location of large,Location of legolas,,
